,int_nocp,int_cp
1.902786884547,-0.19188332444969092,-0.15427656321105587
1.952786884547,-0.20683207273054904,-0.17031874284145943
2.002786884547,-0.21862650472485257,-0.1831630431810254
2.0527868845470003,-0.2277750175504707,-0.19331825346739606
2.102786884547,-0.2347118445718479,-0.2012187272890742
2.152786884547,-0.23980681612067656,-0.20723463968431588
2.2027868845470002,-0.2433737176302202,-0.21168069634052245
2.2527868845470005,-0.24567743524278285,-0.21482349074335616
2.3027868845470003,-0.24694020958520468,-0.21688780475142266
2.352786884547,-0.24734726086444425,-0.2180621384981123
2.4027868845470004,-0.24705201853294056,-0.21850371565767546
2.4527868845470007,-0.24618097671805117,-0.21834304462447562
2.5027868845470005,-0.2448381984123671,-0.21768811365654983
2.5527868845470003,-0.2431093093043728,-0.21662811796056758
2.6027868845470006,-0.24106497060097354,-0.2152367438627607
2.652786884547001,-0.2387638128988101,-0.21357500407486896
2.7027868845470007,-0.23625477371888337,-0.21169356641496506
2.7527868845470005,-0.23357897852235965,-0.20963468894490234
2.8027868845470008,-0.23077118556386722,-0.20743376160987737
2.852786884547001,-0.22786091634839067,-0.20512055475887792
2.902786884547001,-0.22487332835282814,-0.2027202059167621
2.9527868845470007,-0.2218298793317217,-0.20025399229780305
3.002786884547001,-0.21874889320440616,-0.1977399870535237
3.052786884547001,-0.21564596821758641,-0.19519354810324785
3.102786884547001,-0.21253434025652496,-0.1926277100006928
3.152786884547001,-0.20942522404652664,-0.1900535982083511
3.202786884547001,-0.20632801104738974,-0.18748061573535324
3.2527868845470014,-0.20325054585634916,-0.18491675342454528
3.302786884547001,-0.20019931490435283,-0.18236877052015643
3.352786884547001,-0.1971796010802791,-0.17984233841809782
3.4027868845470013,-0.1941956821584654,-0.1773422436473311
3.4527868845470016,-0.19125094349647043,-0.17487244544122404
3.5027868845470014,-0.18834803405354705,-0.17243624116963474
3.552786884547001,-0.1854889856808768,-0.17003634037996562
3.6027868845470015,-0.1826753078398724,-0.16767493796135113
